team,league,div,combined_lg_div
GB,NFC,NORTH,NFC_NORTH
IND,AFC,SOUTH,AFC_SOUTH
KC,AFC,WEST,AFC_WEST
DAL,NFC,EAST,NFC_EAST
MIA,AFC,EAST,AFC_EAST
MIN,NFC,NORTH,NFC_NORTH
TB,NFC,SOUTH,NFC_SOUTH
BUF,AFC,EAST,AFC_EAST
CHI,NFC,NORTH,NFC_NORTH
DEN,AFC,WEST,AFC_WEST
LAR,NFC,WEST,NFC_WEST
NO,NFC,SOUTH,NFC_SOUTH
NYJ,AFC,EAST,AFC_EAST
PHI,NFC,EAST,NFC_EAST
SEA,NFC,WEST,NFC_WEST
ARI,NFC,WEST,NFC_WEST
WAS,NFC,EAST,NFC_EAST
NE,AFC,EAST,AFC_EAST
DET,NFC,NORTH,NFC_NORTH
NYG,NFC,EAST,NFC_EAST
PIT,AFC,NORTH,AFC_NORTH
LAC,AFC,WEST,AFC_WEST
SF,NFC,WEST,NFC_WEST
ATL,NFC,SOUTH,NFC_SOUTH
CIN,AFC,NORTH,AFC_NORTH
CLE,AFC,NORTH,AFC_NORTH
TEN,AFC,SOUTH,AFC_SOUTH
OAK,AFC,WEST,AFC_WEST
JAX,AFC,SOUTH,AFC_SOUTH
CAR,NFC,SOUTH,NFC_SOUTH
BAL,AFC,NORTH,AFC_NORTH
HOU,AFC,SOUTH,AFC_SOUTH
